Source,Site,RSS,City,State,National
Wall Street Journal,http://www.wsj.com,http://www.wsj.com/xml/rss/3_7014.xml,,US,Y
New York Times,http://www.nytimes.com,http://rss.nytimes.com/services/xml/rss/nyt/Politics.xml,New York,NY,Y
USA Today,http://usatoday.com/,http://rssfeeds.usatoday.com/usatodaycomwashington-topstories&x=1,,US,Y
LA Times,http://latimes.com/,http://www.latimes.com/nation/politics/rss2.0.xml,Los Angoles,CA,Y
New York Daily News,http://www.nydailynews.com,http://www.nydailynews.com/cmlink/NYDN.News.Politics.rss,New York,NY,Y
New York Post,http://nypost.com/,http://nypost.com/news/feed/,New York,NY,Y
Washington Post,http://washingtonpost.com/,http://feeds.washingtonpost.com/rss/politics,Washington,DC,Y
Chicago Sun-Times,http://chicago.suntimes.com/,http://chicago.suntimes.com/section/politics/feed/,Chicago,IL,Y
Denver Post,http://www.denverpost.com,http://www.denverpost.com/feed/,Denver,CO,Y
Chicago Tribune,http://chicagotribune.com/,http://www.chicagotribune.com/rss2.0.xml,Chicago,IL,Y
Houston Chronicle,http://chron.com/,http://www.chron.com/rss/feed/Politics-275.php,Houston,TX,Y
Orange County Register,http://www.ocregister.com,http://www.ocregister.com/common/rss/rss.php?catID=18805,Orange County,CA,N
NJ Star-Ledger,http://www.nj.com,http://blog.nj.com/ledgerupdates_impact/rss.xml,Newark,NJ,N
Tampa Bay Time,http://tampabay.com,http://blog.nj.com/ledgerupdates_impact/rss.xml,Tampa-St. Petersburg,FL,N
San Diego Tribune,sandiegouniontribune.com,http://www.sandiegouniontribune.com/rss/headlines/most-recent/,San Diego,CA,N
Hartford Courant,http://www.courant.com/,http://www.courant.com/politics/rss2.0.xml,Hartford,CT,N
Pittsburgh Post-Gazette,http://www.post-gazette.com/,http://www.post-gazette.com/rss/news/politics-nation,Pittsburgh,PA,N
Daily Hampshire Gazette,http://www.gazettenet.com/,http://www.gazettenet.com/SpecialPages/RSS?feed=News,Northampton,MA,N
The Recorder,http://www.recorder.com/,http://www.recorder.com/SpecialPages/RSS?feed=News,Greenfield,MA,N
Rutland Herald,http://rutlandherald.com/,http://rutlandherald.com/apps/pbcs.dll/section?category=RSS04&mime=xml,Rutland,VT,N
Norwich Bulletin,http://www.norwichbulletin.com/,http://www.norwichbulletin.com/news/government?template=rss&mime=xml,Norwich,CT,N
New York Post,http://nypost.com/,http://nypost.com/news/feed/,New York,NY,N
The Post and Courier,http://www.postandcourier.com/,http://www.postandcourier.com/apps/pbcs.dll/section?Category=PC1603&template=rss&mime=XML,Charleston,SC,N
The Barnstable Patriot,http://www.barnstablepatriot.com/,http://www.barnstablepatriot.com/news?template=rss&mime=xml,Barnstable,MA,N
